B_Ion,A_Ion,C_Ion,AntiSolvent,Cell_Area,Solv_Anneal,HTL,Bandgap,Solvents,Backcontact,ETL,Synth_Atm,Dep_Procedure,Is_Module,Anneal_Temp,PCE,Voc,Jsc,FF
Pb,MA,I,0,,0,PTB7-Th | P3HT | Spiro-OMeTAD,1.6,Unknown,Au,TiO2-c | TiO2-mp,N2,Spin-coating,0,,13.8,0.987,21.16,0.659
Pb,MA,I,0,0.089,0,Spiro-MeOTAD,1.6,DMF; DMSO >> IPA,Au,TiO2-c | TiO2-mp,N2 >> N2,Spin-coating >> Spin-coating,0,,15.9,1.049,19.8,0.766
Pb,MA,I,0,0.06,0,Spiro-MeOTAD,1.6,DMF; DMSO >> IPA,Au,TiO2-c | TiO2-mp,Unknown,Spin-coating >> Spin-coating,0,,16.16,1.01,16.16,0.69
Pb,FA; MA,Br; I,0,,0,NiOx | MeO-2PACz,1.57,Unknown,Unknown,Unknown,Unknown,Unknown,0,,21.7,1.08,23.9,0.839
Pb,MA; SeDMA,I,0,,0,Unknown,1.59,Unknown,Unknown,Unknown,Unknown,Unknown,0,,17.85,1.1,21.36,0.7596
Pb,MA,I,0,0.16,0,Spiro-MeOTAD,1.5,DMF >> IPA,Ag,TiO2-c | TiO2-mp,N2 >> N2,Spin-coating >> CBD,0,,12.34,0.88,22.54,0.622
Bi,MA,I,0,0.19,0,Spiro-MeOTAD,,DMF,Au,TiO2-c | TiO2-mp,N2,Spin-coating,0,100,0.08,0.584,0.37,0.383
Pb,MA,I,0,0.09,0,PTAA,1.55,DMF >> IPA,Au,SnO2-c,Ambient >> Ambient,Spin-coating >> CBD,0,,13.1,1,19.4,0.67
Pb,MA,I,0,0.09,0,NiO-c,1.5,DMF >> IPA,Ag,PCBM-60 | BCP,Unknown,Spin-coating >> CBD,0,,9.6,1.035,13.9,0.67
Pb,MA,I,0,0.1,0,SP-02,1.6,DMF,Au,TiO2-c,Unknown,Spin-coating,0,95,,,,
Pb,MA,I,0,0.7,0,none,1.6,GBL,Carbon,TiO2-c | ZrO2-mp,N2,Drop-infiltration,0,60,6.82,0.82,22.7,0.419
Pb,Cs; FA; MA,Br; I,1,0.16,0,PEDOT:PSS,1.6,DMF; DMSO,Cu,C60 | BCP,N2,Spin-coating,0,100,9.3,0.742,18.372,0.683
Pb,MA,I,0,0.09,0,Spiro-MeOTAD,1.55,DMF; GBL,Au,TiO2-c | TiO2-mp,Air,Spin-coating,0,100,9.63,0.02,0.903,0.536
Pb,MA,I,0,0.13,0,Spiro-MeOTAD,1.6,DMF >> IPA,Au,TiO2-c | TiO2-mp,Unknown,Spin-coating >> CBD,0,,13.75,1.025,18.69,0.72
Pb,MA,I,0,0.04,0,Spiro-MeOTAD,1.6,DMF >> IPA,Au,TiO2-c,N2 >> N2,Spin-coating >> CBD,0,,8.29,0.9,17.6,0.52
Pb,(DMA),I,0,0.09,0,Spiro-MeOTAD,,DMF,Au,TiO2-c,Unknown,Spin-coating,0,,10.5,0.899,19.6,0.6
Bi,Ag,I,0,0.003,0,Spiro-MeOTAD,1.92,DMF,Au,TiO2-c | TiO2-mp,N2,Spin-coating,0,60,0.28,0.54,1.46,0.36
Pb,Cs,I,0,0.04,0,P3HT,,none,Ag,TiO2-c,Vacuum,Co-evaporation,0,350,5.81,0.68,14.33,0.6
